tournament,men_women,player,odds
Australian Open 2012,Men,Novak Djokovic,2.46
Australian Open 2012,Men,Roger Federer,5.6
Australian Open 2012,Men,Andy Murray,7.6
Australian Open 2012,Men,Rafael Nadal,9
Australian Open 2012,Men,Jo Wilfried Tsonga,22
Australian Open 2012,Men,Juan Martin Del Potro,26
Australian Open 2012,Men,Tomas Berdych,46
Australian Open 2012,Men,Bernard Tomic,80
Australian Open 2012,Men,Milos Raonic,100
Australian Open 2012,Men,David Ferrer,110
Australian Open 2012,Men,Alexandr Dolgopolov,200
Australian Open 2012,Men,Gael Monfils,210
Australian Open 2012,Men,Mardy Fish,260
Australian Open 2012,Men,Grigor Dimitrov,320
Australian Open 2012,Men,Marcos Baghdatis,330
Australian Open 2012,Men,Janko Tipsarevic,370
Australian Open 2012,Men,John Isner,470
Australian Open 2012,Men,Andy Roddick,480
Australian Open 2012,Men,Kei Nishikori,600
Australian Open 2012,Men,Stanislas Wawrinka,630
Australian Open 2012,Men,Jurgen Melzer,700
Australian Open 2012,Men,Richard Gasquet,720
Australian Open 2012,Men,Gilles Simon,760
Australian Open 2012,Men,Fernando Verdasco,770
Australian Open 2012,Men,Radek Stepanek,1e3
Australian Open 2012,Men,Sam Querrey,1e3
Australian Open 2012,Men,Lleyton Hewitt,1e3
Australian Open 2012,Men,David Nalbandian,1e3
Australian Open 2012,Men,Nicolas Almagro,1e3
Australian Open 2012,Men,Ryan Harrison,1e3
Australian Open 2012,Men,Juan Ignacio Chela,1e3
Australian Open 2012,Men,Albert Montanes,1e3
Australian Open 2012,Men,Potito Starace,1e3
Australian Open 2012,Men,James Blake,1e3
Australian Open 2012,Men,Donald Young,1e3
Australian Open 2012,Men,Ernests Gulbis,1e3
Australian Open 2012,Men,Santiago Giraldo,1e3
Australian Open 2012,Men,Fernando Gonzalez,1e3
Australian Open 2012,Men,Philipp Petzschner,1e3
Australian Open 2012,Men,Lukasz Kubot,1e3
Australian Open 2012,Men,Andrey Golubev,1e3
Australian Open 2012,Men,Marin Cilic,1e3
Australian Open 2012,Men,Florian Mayer,1e3
Australian Open 2012,Men,Xavier Malisse,1e3
Australian Open 2012,Men,Sergiy Stakhovsky,1e3
Australian Open 2012,Men,Mikhail Youzhny,1e3
Australian Open 2012,Men,Guillermo Garcia Lopez,1e3
Australian Open 2012,Men,Kevin Anderson,1e3
Australian Open 2012,Men,Filippo Volandri,1e3
Australian Open 2012,Men,Marcel Granollers,1e3
Australian Open 2012,Men,Robin Soderling,1e3
Australian Open 2012,Men,Olivier Rochus,1e3
Australian Open 2012,Men,Alejandro Falla,1e3
Australian Open 2012,Men,Juan Monaco,1e3
Australian Open 2012,Men,Viktor Troicki,1e3
Australian Open 2012,Men,Frederico Gil,1e3
Australian Open 2012,Men,Ivan Dodig,1e3
Australian Open 2012,Men,Carlos Berlocq,1e3
Australian Open 2012,Men,Gilles Muller,1e3
Australian Open 2012,Men,Denis Istomin,1e3
Australian Open 2012,Men,Michael Russell,1e3
Australian Open 2012,Men,Michael Llodra,1e3
Australian Open 2012,Men,Daniel Gimeno Traver,1e3
Australian Open 2012,Men,Dudi Sela,1e3
Australian Open 2012,Men,Lukas Rosol,1e3
Australian Open 2012,Men,Nikolay Davydenko,1e3
Australian Open 2012,Men,Robin Haase,1e3
Australian Open 2012,Men,Alex Bogomolov Jr,1e3
Australian Open 2012,Men,Jarkko Nieminen,1e3
Australian Open 2012,Men,Victor Hanescu,1e3
Australian Open 2012,Men,Ryan Sweeting,1e3
Australian Open 2012,Men,Adrian Mannarino,1e3
Australian Open 2012,Men,Albert Ramos,1e3
Australian Open 2012,Men,Leonardo Mayer,1e3
Australian Open 2012,Men,Ivo Karlovic,1e3
Australian Open 2012,Men,Julien Benneteau,1e3
Australian Open 2012,Men,Matthias Bachinger,1e3
Australian Open 2012,Men,James Ward,1e3
Australian Open 2012,Men,Alex Kuznetsov,1e3
Australian Open 2012,Men,Andreas Seppi,1e3
Australian Open 2012,Men,Benjamin Becker,1e3
Australian Open 2012,Men,Mikhail Kukushkin,1e3
Australian Open 2012,Men,Matthew Ebden,1e3
Australian Open 2012,Men,Dmitry Tursunov,1e3
Australian Open 2012,Men,Cedrik Marcel Stebe,1e3
Australian Open 2012,Men,Tommy Haas,1e3
Australian Open 2012,Men,Ivan Ljubicic,1e3
Australian Open 2012,Men,Rui Machado,1e3
Australian Open 2012,Men,Thomaz Bellucci,1e3
Australian Open 2012,Men,Marinko Matosevic,1e3
Australian Open 2012,Men,Ben Mitchell,1e3
Australian Open 2012,Men,Peter Gojowczyk,1e3
Australian Open 2012,Men,Yen Hsun Lu,1e3
Australian Open 2012,Men,Juan Carlos Ferrero,1e3
Australian Open 2012,Men,Pablo Andujar,1e3
Australian Open 2012,Men,Fabio Fognini,1e3
Australian Open 2012,Men,Jeremy Chardy,1e3
Australian Open 2012,Men,Blaz Kavcic,1e3
Australian Open 2012,Men,Benoit Paire,1e3
Australian Open 2012,Men,Philipp Kohlschreiber,1e3
Australian Open 2012,Men,James Duckworth,1e3
Australian Open 2012,Men,Feliciano Lopez,1e3
Australian Open 2013,Men,Novak Djokovic,2.06
Australian Open 2013,Men,Andy Murray,4.7
Australian Open 2013,Men,Roger Federer,7.2
Australian Open 2013,Men,Juan Martin Del Potro,25
Australian Open 2013,Men,David Ferrer,32
Australian Open 2013,Men,Bernard Tomic,60
Australian Open 2013,Men,Jo Wilfried Tsonga,65
Australian Open 2013,Men,Tomas Berdych,75
Australian Open 2013,Men,Milos Raonic,100
Australian Open 2013,Men,Grigor Dimitrov,170
Australian Open 2013,Men,Jerzy Janowicz,200
Australian Open 2013,Men,Lleyton Hewitt,210
Australian Open 2013,Men,Kei Nishikori,300
Australian Open 2013,Men,Janko Tipsarevic,340
Australian Open 2013,Men,Marcos Baghdatis,340
Australian Open 2013,Men,Richard Gasquet,410
Australian Open 2013,Men,Marin Cilic,430
Australian Open 2013,Men,Nicolas Almagro,490
Australian Open 2013,Men,Kevin Anderson,580
Australian Open 2013,Men,Nikolay Davydenko,600
Australian Open 2013,Men,Stanislas Wawrinka,600
Australian Open 2013,Men,Alexandr Dolgopolov,610
Australian Open 2013,Men,Fernando Verdasco,690
Australian Open 2013,Men,Philipp Kohlschreiber,700
Australian Open 2013,Men,Sam Querrey,730
Australian Open 2013,Men,Andreas Seppi,800
Australian Open 2013,Men,Evgeny Donskoy,1e3
Australian Open 2013,Men,Martin Klizan,1e3
Australian Open 2013,Men,Feliciano Lopez,1e3
Australian Open 2013,Men,Benjamin Becker,1e3
Australian Open 2013,Men,Viktor Troicki,1e3
Australian Open 2013,Men,Ricardas Berankis,1e3
Australian Open 2013,Men,Rhyne Williams,1e3
Australian Open 2013,Men,Simone Bolelli,1e3
Australian Open 2013,Men,Matthew Ebden,1e3
Australian Open 2013,Men,Carlos Berlocq,1e3
Australian Open 2013,Men,Thomaz Bellucci,1e3
Australian Open 2013,Men,Tommy Haas,1e3
Australian Open 2013,Men,Gilles Simon,1e3
Australian Open 2013,Men,Aljaz Bedene,1e3
Australian Open 2013,Men,Gilles Muller,1e3
Australian Open 2013,Men,Lukasz Kubot,1e3
Australian Open 2013,Men,Robin Haase,1e3
Australian Open 2013,Men,Ivan Dodig,1e3
Australian Open 2013,Men,Juan Monaco,1e3
Australian Open 2013,Men,Marinko Matosevic,1e3
Australian Open 2013,Men,Paul Henri Mathieu,1e3
Australian Open 2013,Men,Leonardo Mayer,1e3
Australian Open 2013,Men,Sergiy Stakhovsky,1e3
Australian Open 2013,Men,Igor Sijsling,1e3
Australian Open 2013,Men,Roberto Bautista Agut,1e3
Australian Open 2013,Men,Daniel Gimeno Traver,1e3
Australian Open 2013,Men,Santiago Giraldo,1e3
Australian Open 2013,Men,James Blake,1e3
Australian Open 2013,Men,David Nalbandian,1e3
Australian Open 2013,Men,Jan Hajek,1e3
Australian Open 2013,Men,Victor Hansecu,1e3
Australian Open 2013,Men,Julien Benneteau,1e3
Australian Open 2013,Men,Steve Darcis,1e3
Australian Open 2013,Men,Lukas Rosol,1e3
Australian Open 2013,Men,Ernests Gulbis,1e3
Australian Open 2013,Men,Philipp Petzschner,1e3
Australian Open 2013,Men,Marcel Granollers,1e3
Australian Open 2013,Men,David Goffin,1e3
Australian Open 2013,Men,Daniel Brands,1e3
Australian Open 2013,Men,Alejandro Falla,1e3
Australian Open 2013,Men,Denis Istomin,1e3
Australian Open 2013,Men,Jurgen Melzer,1e3
Australian Open 2013,Men,Ryan Harrison,1e3
Australian Open 2013,Men,Paolo Lorenzi,1e3
Australian Open 2013,Men,Jarkko Nieminen,1e3
Australian Open 2013,Men,Ivo Karlovic,1e3
Australian Open 2013,Men,Fabio Fognini,1e3
Australian Open 2013,Men,Lukas Lacko,1e3
Australian Open 2013,Men,Filippo Volandri,1e3
Australian Open 2013,Men,John Isner,1e3
Australian Open 2013,Men,Somdev Devvarman,1e3
Australian Open 2013,Men,Rafael Nadal,1e3
Australian Open 2013,Men,Albert Ramos,1e3
Australian Open 2013,Men,Benoit Paire,1e3
Australian Open 2013,Men,Radek Stepanek,1e3
Australian Open 2013,Men,Bjorn Phau,1e3
Australian Open 2013,Men,Brian Baker,1e3
Australian Open 2013,Men,Pablo Andujar,1e3
Australian Open 2013,Men,Donald Young,1e3
Australian Open 2013,Men,Mardy Fish,1e3
Australian Open 2013,Men,John Patrick Smith,1e3
Australian Open 2013,Men,Gael Monfils,1e3
Australian Open 2013,Men,Grega Zemlja,1e3
Australian Open 2013,Men,Mikhail Youzhny,1e3
Australian Open 2013,Men,Igor Andreev,1e3
Australian Open 2013,Men,Michael Llodra,1e3
Australian Open 2013,Men,Florian Mayer,1e3
Australian Open 2013,Men,Jeremy Chardy,1e3
Australian Open 2013,Men,Go Soeda,1e3
Australian Open 2013,Men,Xavier Malisse,1e3
Australian Open 2013,Men,John Millman,1e3
Australian Open 2013,Men,Jurgen Zopp,1e3
Australian Open 2014,Men,Novak Djokovic,1.89
Australian Open 2014,Men,Rafael Nadal,4.7
Australian Open 2014,Men,Juan Martin Del Potro,12.5
Australian Open 2014,Men,Andy Murray,16
Australian Open 2014,Men,Roger Federer,30
Australian Open 2014,Men,Stanislas Wawrinka,60
Australian Open 2014,Men,Jo Wilfried Tsonga,60
Australian Open 2014,Men,Tomas Berdych,60
Australian Open 2014,Men,David Ferrer,95
Australian Open 2014,Men,Lleyton Hewitt,230
Australian Open 2014,Men,Jerzy Janowicz,270
Australian Open 2014,Men,Milos Raonic,290
Australian Open 2014,Men,Gael Monfils,360
Australian Open 2014,Men,Bernard Tomic,360
Australian Open 2014,Men,John Isner,430
Australian Open 2014,Men,Grigor Dimitrov,550
Australian Open 2014,Men,Marin Cilic,570
Australian Open 2014,Men,Richard Gasquet,620
Australian Open 2014,Men,Alexandr Dolgopolov,660
Australian Open 2014,Men,Kei Nishikori,690
Australian Open 2014,Men,Tommy Haas,760
Australian Open 2014,Men,Fernando Verdasco,760
Australian Open 2014,Men,Mikhail Youzhny,810
Australian Open 2014,Men,Ernests Gulbis,810
Australian Open 2014,Men,Joao Sousa,1e3
Australian Open 2014,Men,Janko Tipsarevic,1e3
Australian Open 2014,Men,Lukasz Kubot,1e3
Australian Open 2014,Men,Vasek Pospisil,1e3
Australian Open 2014,Men,Radek Stepanek,1e3
Australian Open 2014,Men,Andreas Seppi,1e3
Australian Open 2014,Men,Nicolas Almagro,1e3
Australian Open 2014,Men,Jarkko Nieminen,1e3
Australian Open 2014,Men,Jurgen Melzer,1e3
Australian Open 2014,Men,Albert Ramos,1e3
Australian Open 2014,Men,Marinko Matosevic,1e3
Australian Open 2014,Men,Edouard Roger Vasselin,1e3
Australian Open 2014,Men,Go Soeda,1e3
Australian Open 2014,Men,Mardy Fish,1e3
Australian Open 2014,Men,Thomaz Bellucci,1e3
Australian Open 2014,Men,Carlos Berlocq,1e3
Australian Open 2014,Men,Denis Kudla,1e3
Australian Open 2014,Men,Benjamin Becker,1e3
Australian Open 2014,Men,Robin Haase,1e3
Australian Open 2014,Men,Dudi Sela,1e3
Australian Open 2014,Men,Pablo Andujar,1e3
Australian Open 2014,Men,Roberto Bautista Agut,1e3
Australian Open 2014,Men,Jordan Thompson,1e3
Australian Open 2014,Men,Jeremy Chardy,1e3
Australian Open 2014,Men,James Duckworth,1e3
