tournament,men_women,match_date,player_1,player_1_odds,player_2,player_2_odds
Australian Open 2012,Women,2012-01-16,Anastasia Rodionova,8.2,Caroline Wozniacki,1.12
Australian Open 2012,Women,2012-01-16,Anna Tatishvili,1.35,Ashleigh Barty,3.6999999999999997
Australian Open 2012,Women,2012-01-16,Alize Cornet,3.05,Monica Niculescu,1.47
Australian Open 2012,Women,2012-01-16,Alla Kudryavtseva,1.82,Pauline Parmentier,2.2
Australian Open 2012,Women,2012-01-16,Christina McHale,2.74,Lucie Safarova,1.4100000000000001
Australian Open 2012,Women,2012-01-16,Elena Baltacha,1.36,Stephanie Foretz Gacon,2.7
Australian Open 2012,Women,2012-01-16,Arantxa Rus,1.85,Lesia Tsurenko,1.96
Australian Open 2012,Women,2012-01-16,Anabel Medina Garrigues,1.17,Eva Birnerova,6.6000000000000005
Australian Open 2012,Women,2012-01-16,Olga Govortsova,1.23,Patricia Mayr Achleitner,5
Australian Open 2012,Women,2012-01-16,Olivia Rogowska,3.15,Sofia Arvidsson,1.42
Australian Open 2012,Women,2012-01-16,Ksenia Pervak,8.8,Na Li,1.11
Australian Open 2012,Women,2012-01-16,Heather Watson,17.5,Victoria Azarenka,1.04
Australian Open 2012,Women,2012-01-16,Bojana Jovanovski,1.51,Casey Dellacqua,2.72
Australian Open 2012,Women,2012-01-16,Anne Keothavong,4.199999999999999,Mona Barthel,1.27
Australian Open 2012,Women,2012-01-16,Ayumi Morita,2.06,Petra Cetkovska,1.81
Australian Open 2012,Women,2012-01-16,Alberta Brianti,2.1,Irina Falconi,1.72
Australian Open 2012,Women,2012-01-16,Iveta Benesova,1.19,Mathilde Johansson,4.8999999999999995
Australian Open 2012,Women,2012-01-16,Aravane Rezai,4.3999999999999995,Shuai Peng,1.25
Australian Open 2012,Women,2012-01-16,Francesca Schiavone,1.07,Laura Pous Tio,3.55
Australian Open 2012,Women,2012-01-16,Anastasiya Yakimova,4.5,Romina Oprandi,1.26
Australian Open 2012,Women,2012-01-16,Eleni Daniilidou,3.25,Kimiko Date Krumm,1.4100000000000001
Australian Open 2012,Women,2012-01-16,Julia Goerges,1.65,Polona Hercog,2.44
Australian Open 2012,Women,2012-01-16,Galina Voskoboeva,2.44,Yanina Wickmayer,1.6099999999999999
Australian Open 2012,Women,2012-01-16,Sania Mirza,2.86,Tsvetana Pironkova,1.51
Australian Open 2012,Women,2012-01-16,Agnieszka Radwanska,1.09,Bethanie Mattek Sands,9.600000000000001
Australian Open 2012,Women,2012-01-17,Alexandra Dulgheru,5,Vera Zvonareva,1.21
Australian Open 2012,Women,2012-01-17,Evgeniya Rodina,3.4499999999999997,Lucie Hradecka,1.38
Australian Open 2012,Women,2012-01-17,Ekaterina Makarova,1.44,Tamarine Tanasugarn,2.86
