tournament,men_women,player,odds
Australian Open 2012,Women,Petra Kvitova,3.95
Australian Open 2012,Women,Serena Williams,5.7
Australian Open 2012,Women,Victoria Azarenka,8.2
Australian Open 2012,Women,Kim Clijsters,12
Australian Open 2012,Women,Na Li,14
Australian Open 2012,Women,Caroline Wozniacki,20
Australian Open 2012,Women,Samantha Stosur,23
Australian Open 2012,Women,Kaia Kanepi,25
Australian Open 2012,Women,Agnieszka Radwanska,30
Australian Open 2012,Women,Maria Sharapova,44
Australian Open 2012,Women,Marion Bartoli,65
Australian Open 2012,Women,Sabine Lisicki,70
Australian Open 2012,Women,Vera Zvonareva,75
Australian Open 2012,Women,Svetlana Kuznetsova,75
Australian Open 2012,Women,Francesca Schiavone,140
Australian Open 2012,Women,Ana Ivanovic,150
Australian Open 2012,Women,Flavia Pennetta,150
Australian Open 2012,Women,Jelena Jankovic,170
Australian Open 2012,Women,Yanina Wickmayer,190
Australian Open 2012,Women,Anastasia Pavlyuchenkova,190
Australian Open 2012,Women,Dominika Cibulkova,220
Australian Open 2012,Women,Jie Zheng,230
Australian Open 2012,Women,Angelique Kerber,250
Australian Open 2012,Women,Mona Barthel,300
Australian Open 2012,Women,Daniela Hantuchova,310
Australian Open 2012,Women,Shuai Peng,340
Australian Open 2012,Women,Lucie Safarova,410
Australian Open 2012,Women,Julia Goerges,430
Australian Open 2012,Women,Maria Kirilenko,440
Australian Open 2012,Women,Sara Errani,1e3
Australian Open 2012,Women,Urszula Radwanska,1e3
Australian Open 2012,Women,Lucie Hradecka,1e3
Australian Open 2012,Women,Ksenia Pervak,1e3
Australian Open 2012,Women,Anastasia Rodionova,1e3
Australian Open 2012,Women,Anastasija Sevastova,1e3
Australian Open 2012,Women,Christina McHale,1e3
Australian Open 2012,Women,Jelena Dokic,1e3
Australian Open 2012,Women,Shahar Peer,1e3
Australian Open 2012,Women,Chanelle Scheepers,1e3
Australian Open 2012,Women,Nadia Petrova,1e3
Australian Open 2012,Women,Carla Suarez Navarro,1e3
Australian Open 2012,Women,Andrea Petkovic,1e3
Australian Open 2012,Women,Kateryna Bondarenko,1e3
Australian Open 2012,Women,Simona Halep,1e3
Australian Open 2012,Women,Maria Jose Martinez Sanchez,1e3
Australian Open 2012,Women,Anna Chakvetadze,1e3
Australian Open 2012,Women,Olga Govortsova,1e3
Australian Open 2012,Women,Aravane Rezai,1e3
Australian Open 2012,Women,Greta Arn,1e3
Australian Open 2012,Women,Jarmila Gajdosova,1e3
Australian Open 2012,Women,Petra Martic,1e3
Australian Open 2012,Women,Galina Voskoboeva,1e3
Australian Open 2012,Women,Ashleigh Barty,1e3
Australian Open 2012,Women,Alexandra Dulgheru,1e3
Australian Open 2012,Women,Virginie Razzano,1e3
Australian Open 2012,Women,Gisela Dulko,1e3
Australian Open 2012,Women,Casey Dellacqua,1e3
Australian Open 2012,Women,Marina Erakovic,1e3
Australian Open 2012,Women,Tsvetana Pironkova,1e3
Australian Open 2012,Women,Iveta Benesova,1e3
Australian Open 2012,Women,Elena Vesnina,1e3
Australian Open 2012,Women,Sorana Cirstea,1e3
Australian Open 2012,Women,Anabel Medina Garrigues,1e3
Australian Open 2012,Women,Venus Williams,1e3
Australian Open 2012,Women,Bethanie Mattek Sands,1e3
Australian Open 2012,Women,Monica Niculescu,1e3
Australian Open 2012,Women,Arantxa Rus,1e3
Australian Open 2012,Women,Polona Hercog,1e3
Australian Open 2012,Women,Roberta Vinci,1e3
Australian Open 2012,Women,Klara Zakopalova,1e3
Australian Open 2012,Women,Lesia Tsurenko,1e3
Australian Open 2013,Women,Serena Williams,1.96
Australian Open 2013,Women,Victoria Azarenka,6.2
Australian Open 2013,Women,Maria Sharapova,13
Australian Open 2013,Women,Agnieszka Radwanska,18.5
Australian Open 2013,Women,Na Li,24
Australian Open 2013,Women,Angelique Kerber,42
Australian Open 2013,Women,Samantha Stosur,48
Australian Open 2013,Women,Petra Kvitova,55
Australian Open 2013,Women,Venus Williams,80
Australian Open 2013,Women,Caroline Wozniacki,90
Australian Open 2013,Women,Sara Errani,100
Australian Open 2013,Women,Sloane Stephens,160
Australian Open 2013,Women,Anastasia Pavlyuchenkova,230
Australian Open 2013,Women,Nadia Petrova,240
Australian Open 2013,Women,Dominika Cibulkova,250
Australian Open 2013,Women,Sabine Lisicki,250
Australian Open 2013,Women,Mona Barthel,260
Australian Open 2013,Women,Marion Bartoli,290
Australian Open 2013,Women,Ana Ivanovic,310
Australian Open 2013,Women,Laura Robson,320
Australian Open 2013,Women,Madison Keys,330
Australian Open 2013,Women,Svetlana Kuznetsova,380
Australian Open 2013,Women,Ekaterina Makarova,510
Australian Open 2013,Women,Maria Kirilenko,520
Australian Open 2013,Women,Yaroslava Shvedova,560
Australian Open 2013,Women,Roberta Vinci,630
Australian Open 2013,Women,Lucie Safarova,660
Australian Open 2013,Women,Julia Goerges,660
Australian Open 2013,Women,Heather Watson,700
Australian Open 2013,Women,Yanina Wickmayer,710
Australian Open 2013,Women,Klara Zakopalova,770
Australian Open 2013,Women,Jie Zheng,880
Australian Open 2013,Women,Tamira Paszek,1e3
Australian Open 2013,Women,Tsvetana Pironkova,1e3
Australian Open 2013,Women,Daniela Hantuchova,1e3
Australian Open 2013,Women,Casey Dellacqua,1e3
Australian Open 2013,Women,Karolina Pliskova,1e3
Australian Open 2013,Women,Stefanie Voegele,1e3
Australian Open 2013,Women,Polona Hercog,1e3
Australian Open 2013,Women,Flavia Pennetta,1e3
Australian Open 2013,Women,Kristina Mladenovic,1e3
Australian Open 2013,Women,Petra Martic,1e3
Australian Open 2013,Women,Galina Voskoboeva,1e3
Australian Open 2013,Women,Simona Halep,1e3
Australian Open 2013,Women,Lucie Hradecka,1e3
Australian Open 2013,Women,Chanelle Scheepers,1e3
Australian Open 2013,Women,Francesca Schiavone,1e3
Australian Open 2013,Women,Timea Babos,1e3
Australian Open 2013,Women,Urszula Radwanska,1e3
Australian Open 2013,Women,Varvara Lepchenko,1e3
Australian Open 2013,Women,Jarmila Gajdosova,1e3
Australian Open 2013,Women,Christina McHale,1e3
Australian Open 2013,Women,Alize Cornet,1e3
Australian Open 2013,Women,Shuai Peng,1e3
Australian Open 2013,Women,Andrea Hlavackova,1e3
Australian Open 2013,Women,Sorana Cirstea,1e3
Australian Open 2013,Women,Su Wei Hsieh,1e3
Australian Open 2013,Women,Caroline Garcia,1e3
Australian Open 2013,Women,Anabel Medina Garrigues,1e3
Australian Open 2013,Women,Vera Zvonareva,1e3
Australian Open 2013,Women,Yuxuan Zhang,1e3
Australian Open 2013,Women,Jelena Jankovic,1e3
Australian Open 2013,Women,Marina Erakovic,1e3
Australian Open 2013,Women,Kaia Kanepi,1e3
Australian Open 2013,Women,Elena Vesnina,1e3
Australian Open 2013,Women,Arantxa Rus,1e3
Australian Open 2013,Women,Monica Niculescu,1e3
Australian Open 2013,Women,Nina Bratchikova,1e3
Australian Open 2013,Women,Carla Suarez Navarro,1e3
Australian Open 2013,Women,Sofia Arvidsson,1e3
